"","National.Provider.Indentification","Plan.Name","Standardized.Add.1","Standardized.City","Standardized.State","Standardized.County.Name","Standardized.ZIP","License.Number","Medicaid.Provider.Identification.No","Provider.Primary.Specialty","Phone.Number"
"1",1003002973,"HealthNow of New York, Inc: Medicaid","6140 TRANSIT RD","DEPEW","NY","Erie",14043,NA,99999999,"DURABLE MEDICAL EQUIPMENT",6811000
"2",1003002973,"HealthNow of New York, Inc","6140 TRANSIT RD","DEPEW","NY","Erie",14043,"99999999",1666137,"DURABLE MEDICAL EQUIPMENT",6811000
"3",1003002973,"Excellus Health Plan, Inc./Univera Healthcare","6140 TRANSIT RD","DEPEW","NY","Erie",14043,NA,99999999,"HOSP DME/ORTHOTIC/PROSTH APPLNC VENDOR",6811000
"5",1003097353,"Excellus Health Plan, Inc./Univera Healthcare","381 HAMILTON ST","GENEVA","NY","Ontario",14456,NA,1355646,"PHARMACY",7810439
"6",1003097353,"Excellus Health Plan, Inc.","381 HAMILTON ST","GENEVA","NY","Ontario",14456,NA,1355646,"PHARMACY",7810439
"11",1003097353,"MVP Health Plan, Inc.","381 HAMILTON ST","GENEVA","NY","Ontario",14456,"00021438",1355646,"PHARMACY",7810474
"15",1003097353,"HealthNow of New York, Inc","381 HAMILTON ST","GENEVA","NY","Ontario",14456,NA,1355646,"PHARMACY",7810439
"19",1003139270,"Excellus Health Plan, Inc.","462 GRIDER ST","BUFFALO","NY","Erie",14215,NA,3198203,"PHARMACY",3322866
"22",1003139270,"Excellus Health Plan, Inc./Univera Healthcare","462 GRIDER ST","BUFFALO","NY","Erie",14215,NA,3198203,"PHARMACY",3322866
"24",1003139270,"MVP Health Plan, Inc.","462 GRIDER ST","BUFFALO","NY","Erie",14215,"00029866",3198203,"PHARMACY",3322866
"26",1003139270,"HealthNow of New York, Inc: Medicaid","462 GRIDER ST","BUFFALO","NY","Erie",14215,NA,3198203,"PHARMACY",3322866
"33",1003139270,"HealthNow of New York, Inc","462 GRIDER ST","BUFFALO","NY","Erie",14215,NA,3198203,"PHARMACY",3322866
"36",1003240003,"HealthNow of New York, Inc","485 MAPLE ST","BIG FLATS","NY","Chemung",14814,NA,3940741,"PHARMACY",3584200
"37",1003240003,"Excellus Health Plan, Inc.","485 MAPLE ST","BIG FLATS","NY","Chemung",14814,NA,3940741,"PHARMACY",3584200
"38",1003240003,"Excellus Health Plan, Inc./Univera Healthcare","485 MAPLE ST","BIG FLATS","NY","Chemung",14814,NA,3940741,"PHARMACY",3584200
"39",1003240003,"MVP Health Plan, Inc.","485 MAPLE ST","BIG FLATS","NY","Chemung",14814,"00032347",3940741,"PHARMACY",3584200
"52",1003802190,"Excellus Health Plan, Inc.","3019 COUNTY COMPLEX DR","CANANDAIGUA","NY","Ontario",14424,"6879100B",357846,"PRIVATE PSYCH & ASA INPATIENT",3964190
"53",1003802190,"Excellus Health Plan, Inc./Univera Healthcare","3019 COUNTY COMPLEX DR","CANANDAIGUA","NY","Ontario",14424,"6879100B",357846,"PRIVATE PSYCH & ASA INPATIENT",3964190
"56",1003802190,"Excellus Health Plan, Inc./Univera Healthcare","3019 COUNTY COMPLEX DR","CANANDAIGUA","NY","Ontario",14424,"3429200R",984285,"PHYSICAL THERAPY",3964363
"58",1003802190,"Excellus Health Plan, Inc.","3019 COUNTY COMPLEX DR","CANANDAIGUA","NY","Ontario",14424,"3429200R",984285,"PHYSICAL THERAPY",3964363
"60",1003802190,"MVP Health Plan, Inc.","3019 COUNTY COMPLEX DR","CANANDAIGUA","NY","Ontario",14424,"6879100A",357846,"MH OUTPATIENT (NON-RESIDENTIAL)",3964190
"61",1003802190,"MVP Health Plan, Inc.","3019 COUNTY COMPLEX DR","CANANDAIGUA","NY","Ontario",14424,"6879100A",99999999,"MH OUTPATIENT (NON-RESIDENTIAL)",3964190
"63",1003802190,"Excellus Health Plan, Inc.","83 SENECA ST","GENEVA","NY","Ontario",14456,"6879100B",357846,"PRIVATE PSYCH & ASA INPATIENT",7896706
